source,tag,division_code,division_name,section_code,section_name,cos,rank
regpat,A01N25/04,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.37268131971359253,1
regpat,A01N25/04,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.37268131971359253,2
regpat,A01N25/10,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.4516852796077728,1
regpat,A01N25/30,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.38601499795913696,1
regpat,A01N25/30,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.38601499795913696,2
regpat,A01N25/34,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.39384499192237854,1
regpat,A01N25/34,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.39384499192237854,2
regpat,A01N31/02,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.4196719229221344,1
regpat,A01N33/12,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.38825058937072754,1
regpat,A01N37,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.37042513489723206,1
regpat,A01N37/46,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.35111740231513977,1
regpat,A01N37/46,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.3407793939113617,2
regpat,A01N43,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.4514903128147125,1
regpat,A01N43/16,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.40849077701568604,1
regpat,A01N43/16,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.40404170751571655,2
regpat,A01N43/16,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.4018506109714508,3
regpat,A01N43/40,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3616291284561157,1
regpat,A01N43/50,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.32466813921928406,1
regpat,A01N43/50,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.32466813921928406,2
regpat,A01N43/54,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.34862518310546875,1
regpat,A01N43/56,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3762880563735962,1
regpat,A01N43/56,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3711763024330139,2
regpat,A01N43/653,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3711298108100891,1
regpat,A01N43/78,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3859142065048218,1
regpat,A01N43/80,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3094339668750763,1
regpat,A01N43/82,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3211049735546112,1
regpat,A01N43/82,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.3368239998817444,2
regpat,A01N43/82,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3211049735546112,3
regpat,A01N43/90,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3694082498550415,1
regpat,A01N47,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.4488118588924408,1
regpat,A01N53,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3336241841316223,1
regpat,A01N53,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3336241841316223,2
regpat,A01N57/20,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3908781111240387,1
regpat,A01N59,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.4036054313182831,1
regpat,A01N59/16,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.35819798707962036,1
regpat,A01N59/16,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.35819798707962036,2
regpat,A01N59/20,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.37980395555496216,1
regpat,A01N63,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4926682412624359,1
regpat,A01N63/50,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.37293386459350586,1
regpat,A01N65,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.41388896107673645,1
regpat,A01P,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.4578098952770233,1
regpat,A01P1,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.37839561700820923,1
regpat,A01P3,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.39438045024871826,1
regpat,A21B,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.4913419485092163,1
regpat,A21C,28,Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING,0.5136805176734924,1
regpat,A21D,10,Manufacture of food products,C,MANUFACTURING,0.47360098361968994,1
regpat,A21D13,10,Manufacture of food products,C,MANUFACTURING,0.47230228781700134,1
regpat,A21D2,10,Manufacture of food products,C,MANUFACTURING,0.4555915892124176,1
regpat,A22B,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4575822055339813,1
