source,tag,division_code,division_name,section_code,section_name,cos,rank
crunchbase,Family,79,"Travel agency, tour operator and other reservation service and related activities",O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.4903644323348999,1
crunchbase,Fantasy Sports,92,Gambling and betting activities,S,"ARTS, SPORTS AND RECREATION",0.4585604667663574,1
crunchbase,Farmers Market,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.36024874448776245,1
crunchbase,Farmers Market,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.36024874448776245,2
crunchbase,Farming,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.6287838220596313,1
crunchbase,Fashion,14,Manufacture of wearing apparel,C,MANUFACTURING,0.6227494478225708,1
crunchbase,Fast-Moving Consumer Goods,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.5042852163314819,1
crunchbase,Ferry Service,50,Water transport,H,TRANSPORTATION AND STORAGE,0.6160569190979004,1
crunchbase,Fertility,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.42133060097694397,1
crunchbase,Field Support,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.41451212763786316,1
crunchbase,Field Support,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.4272499680519104,2
crunchbase,Field Support,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.41451212763786316,3
crunchbase,Field Support,61,Telecommunication,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.41163182258605957,4
crunchbase,Field Support,95,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",T,OTHER SERVICE ACTIVITIES,0.40221238136291504,5
crunchbase,Field-Programmable Gate Array (FPGA),26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.43955397605895996,1
crunchbase,File Sharing,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.4355330169200897,1
crunchbase,Film,59,"Motion picture, video and television programme production, sound recording and music publishing activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.6288779377937317,1
crunchbase,Film Distribution,59,"Motion picture, video and television programme production, sound recording and music publishing activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.4596984386444092,1
crunchbase,Film Distribution,59,"Motion picture, video and television programme production, sound recording and music publishing activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.4596984386444092,2
crunchbase,Film Production,59,"Motion picture, video and television programme production, sound recording and music publishing activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.5960564613342285,1
crunchbase,Finance,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.5972554087638855,1
crunchbase,Financial Exchanges,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.47262316942214966,1
crunchbase,Financial Services,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.6358751058578491,1
crunchbase,FinTech,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.5217446684837341,1
crunchbase,First Aid,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.3809417188167572,1
crunchbase,Fitness,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.36672839522361755,1
crunchbase,Fitness,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.36672839522361755,2
crunchbase,Flash Sale,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.3474438190460205,1
crunchbase,Flash Storage,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.38789206743240356,1
crunchbase,Fleet Management,77,Rental and leasing activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.5279649496078491,1
crunchbase,Flowers,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5131418704986572,1
crunchbase,Food and Beverage,56,Food and beverage service activities,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0.5691828727722168,1
crunchbase,Food and Beverage,11,Manufacture of beverages,C,MANUFACTURING,0.5541340112686157,2
crunchbase,Food Delivery,56,Food and beverage service activities,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0.4824058711528778,1
crunchbase,Food Processing,10,Manufacture of food products,C,MANUFACTURING,0.55914306640625,1
crunchbase,Food Trucks,56,Food and beverage service activities,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0.4378308355808258,1
crunchbase,Foreign Exchange Trading,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.421569287776947,1
crunchbase,Forestry,02,Forestry and logging,A,"AGRICULTURE, FORESTRY AND FISHING",0.7306095957756042,1
crunchbase,Fossil Fuels,06,Extraction of crude petroleum and natural gas,B,MINING AND QUARRYING,0.6530669331550598,1
crunchbase,Foundries,25,"Manufacture of fabricated metal products, except machinery and equipment",C,MANUFACTURING,0.47539976239204407,1
crunchbase,Foundries,24,Manufacture of basic metals,C,MANUFACTURING,0.46855565905570984,2
crunchbase,Franchise,77,Rental and leasing activities,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0.3485279679298401,1
crunchbase,Fraud Detection,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.39752328395843506,1
crunchbase,Fraud Detection,66,Activities auxiliary to financial services and insurance activities,L,FINANCIAL AND INSURANCE ACTIVITIES,0.3866564929485321,2
crunchbase,Freelance,96,Personal service activities,T,OTHER SERVICE ACTIVITIES,0.4361444115638733,1
crunchbase,Freelance,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.42354708909988403,2
crunchbase,Freemium,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3995605409145355,1
crunchbase,Freight Service,52,"Warehousing, storage and support activities for transportation",H,TRANSPORTATION AND STORAGE,0.6024650931358337,1
crunchbase,Fruit,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5118046998977661,1
crunchbase,Fuel,06,Extraction of crude petroleum and natural gas,B,MINING AND QUARRYING,0.6521226167678833,1
crunchbase,Fuel Cell,35,"Electricity, gas, steam and air conditioning supply",D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0.38171422481536865,1
crunchbase,Funding Platform,64,"Financial service activities, except insurance and pension funding",L,FINANCIAL AND INSURANCE ACTIVITIES,0.3277115821838379,1
crunchbase,Funerals,96,Personal service activities,T,OTHER SERVICE ACTIVITIES,0.3700709939002991,1
crunchbase,Furniture,31,Manufacture of furniture,C,MANUFACTURING,0.7571998238563538,1
crunchbase,Gambling,92,Gambling and betting activities,S,"ARTS, SPORTS AND RECREATION",0.7578559517860413,1
crunchbase,Gamification,92,Gambling and betting activities,S,"ARTS, SPORTS AND RECREATION",0.32873743772506714,1
crunchbase,Gaming,92,Gambling and betting activities,S,"ARTS, SPORTS AND RECREATION",0.5179765820503235,1
crunchbase,Generation Y,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.43042486906051636,1
crunchbase,Generation Z,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.416709840297699,1
crunchbase,Generative AI,60,"Programming, broadcasting, news agency and other content distribution activities",J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",0.368592232465744,1
crunchbase,Genetics,86,Human health activities,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0.4834722876548767,1
crunchbase,Geospatial,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.37785303592681885,1
crunchbase,Geospatial,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.37785303592681885,2
crunchbase,Geothermal Energy,35,"Electricity, gas, steam and air conditioning supply",D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0.42506143450737,1
crunchbase,Gift,96,Personal service activities,T,OTHER SERVICE ACTIVITIES,0.4250396490097046,1
crunchbase,Gift Card,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.3238247036933899,1
crunchbase,Gift Exchange,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.3867083787918091,1
crunchbase,Gift Registry,47,Retail trade,G,WHOLESALE AND RETAIL TRADE,0.30582523345947266,1
crunchbase,Golf,93,Sports activities and amusement and recreation activities,S,"ARTS, SPORTS AND RECREATION",0.3783741295337677,1
crunchbase,Golf,93,Sports activities and amusement and recreation activities,S,"ARTS, SPORTS AND RECREATION",0.3783741295337677,2
crunchbase,Golf,14,Manufacture of wearing apparel,C,MANUFACTURING,0.36932194232940674,3
crunchbase,Google,63,"Computing infrastructure, data processing, hosting and other information service activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.33975616097450256,1
